,fertilizer,n,p,k
0,Urea,0.0,0,0
1,Urea,46.0,1,1
2,Urea,92.0,2,2
3,Urea,138.0,3,3
4,Urea,184.0,4,4
5,Urea,230.0,5,5
6,Urea,276.0,6,6
7,Urea,322.0,7,7
8,Urea,368.0,8,8
9,Urea,414.0,9,9
10,Urea,460.0,10,10
11,Urea,506.0,11,11
12,Urea,552.0,12,12
13,Urea,598.0,13,13
14,Urea,644.0,14,14
15,Urea,690.0,15,15
16,Urea,736.0,16,16
17,Urea,782.0,17,17
18,Urea,828.0,18,18
19,Urea,874.0,19,19
20,Urea,920.0,20,20
21,Urea,966.0,21,21
22,Urea,1012.0,22,22
23,Urea,1058.0,23,23
24,Urea,1104.0,24,24
25,Urea,1150.0,25,25
26,Urea,1196.0,26,26
27,Urea,1242.0,27,27
28,Urea,1288.0,28,28
29,Urea,1334.0,29,29
30,Urea,1380.0,30,30
31,Urea,1426.0,31,31
32,Urea,1472.0,32,32
33,Urea,1518.0,33,33
34,Urea,1564.0,34,34
35,Urea,1610.0,35,35
36,Urea,1656.0,36,36
37,Urea,1702.0,37,37
38,Urea,1748.0,38,38
39,Urea,1794.0,39,39
40,Urea,1840.0,40,40
41,Urea,1886.0,41,41
42,Urea,1932.0,42,42
43,Urea,1978.0,43,43
44,Urea,2024.0,44,44
45,Urea,2070.0,45,45
46,Urea,2116.0,46,46
47,Urea,2162.0,47,47
48,Urea,2208.0,48,48
49,Urea,2254.0,49,49
50,Urea,2300.0,50,50
51,Urea,2346.0,51,51
52,Urea,2392.0,52,52
53,Urea,2438.0,53,53
54,Urea,2484.0,54,54
55,Urea,2530.0,55,55
56,Urea,2576.0,56,56
57,Urea,2622.0,57,57
58,Urea,2668.0,58,58
59,Urea,2714.0,59,59
60,Urea,2760.0,60,60
61,Urea,2806.0,61,61
62,Urea,2852.0,62,62
63,Urea,2898.0,63,63
64,Urea,2944.0,64,64
65,Urea,2990.0,65,65
66,Urea,3036.0,66,66
67,Urea,3082.0,67,67
68,Urea,3128.0,68,68
69,Urea,3174.0,69,69
70,Urea,3220.0,70,70
71,Urea,3266.0,71,71
72,Urea,3312.0,72,72
73,Urea,3358.0,73,73
74,Urea,3404.0,74,74
75,Urea,3450.0,75,75
76,Urea,3496.0,76,76
77,Urea,3542.0,77,77
78,Urea,3588.0,78,78
79,Urea,3634.0,79,79
80,Urea,3680.0,80,80
81,Urea,3726.0,81,81
82,Urea,3772.0,82,82
83,Urea,3818.0,83,83
84,Urea,3864.0,84,84
85,Urea,3910.0,85,85
86,Urea,3956.0,86,86
87,Urea,4002.0,87,87
88,Urea,4048.0,88,88
89,Urea,4094.0,89,89
90,Urea,4140.0,90,90
91,Urea,4186.0,91,91
92,Urea,4232.0,92,92
93,Urea,4278.0,93,93
94,Urea,4324.0,94,94
95,Urea,4370.0,95,95
96,Urea,4416.0,96,96
97,Urea,4462.0,97,97
98,Urea,4508.0,98,98
99,Urea,4554.0,99,99
100,Urea,4600.0,100,100
101,Urea,4646.0,101,101
102,Urea,4692.0,102,102
103,Urea,4738.0,103,103
104,Urea,4784.0,104,104
105,Urea,4830.0,105,105
106,Urea,4876.0,106,106
107,Urea,4922.0,107,107
108,Urea,4968.0,108,108
109,Urea,5014.0,109,109
110,Urea,5060.0,110,110
111,Urea,5106.0,111,111
112,Urea,5152.0,112,112
113,Urea,5198.0,113,113
114,Urea,5244.0,114,114
115,Urea,5290.0,115,115
116,Urea,5336.0,116,116
117,Urea,5382.0,117,117
118,Urea,5428.0,118,118
119,Urea,5474.0,119,119
120,Urea,5520.0,120,120
121,Urea,5566.0,121,121
122,Urea,5612.0,122,122
123,Urea,5658.0,123,123
124,Urea,5704.0,124,124
125,Urea,5750.0,125,125
126,Urea,5796.0,126,126
127,Urea,5842.0,127,127
128,Urea,5888.0,128,128
129,Urea,5934.0,129,129
130,Urea,5980.0,130,130
131,Urea,6026.0,131,131
132,Urea,6072.0,132,132
133,Urea,6118.0,133,133
134,Urea,6164.0,134,134
135,Urea,6210.0,135,135
136,Urea,6256.0,136,136
137,Urea,6302.0,137,137
138,Urea,6348.0,138,138
139,Urea,6394.0,139,139
140,Urea,6440.0,140,140
141,Urea,6486.0,141,141
142,Urea,6532.0,142,142
143,Urea,6578.0,143,143
144,Urea,6624.0,144,144
145,Urea,6670.0,145,145
146,Urea,6716.0,146,146
147,Urea,6762.0,147,147
148,Urea,6808.0,148,148
149,Urea,6854.0,149,149
150,Urea,6900.0,150,150
151,Urea,6946.0,151,151
152,Urea,6992.0,152,152
153,Urea,7038.0,153,153
154,Urea,7084.0,154,154
155,Urea,7130.0,155,155
156,Urea,7176.0,156,156
157,Urea,7222.0,157,157
158,Urea,7268.0,158,158
159,Urea,7314.0,159,159
160,Urea,7360.0,160,160
161,Urea,7406.0,161,161
162,Urea,7452.0,162,162
163,Urea,7498.0,163,163
164,Urea,7544.0,164,164
165,Urea,7590.0,165,165
166,Urea,7636.0,166,166
167,Urea,7682.0,167,167
168,Urea,7728.0,168,168
169,Urea,7774.0,169,169
170,Urea,7820.0,170,170
171,Urea,7866.0,171,171
172,Urea,7912.0,172,172
173,Urea,7958.0,173,173
174,Urea,8004.0,174,174
175,Urea,8050.0,175,175
176,Urea,8096.0,176,176
177,Urea,8142.0,177,177
178,Urea,8188.0,178,178
179,Urea,8234.0,179,179
180,Urea,8280.0,180,180
181,Urea,8326.0,181,181
182,Urea,8372.0,182,182
183,Urea,8418.0,183,183
184,Urea,8464.0,184,184
185,Urea,8510.0,185,185
186,Urea,8556.0,186,186
187,Urea,8602.0,187,187
188,Urea,8648.0,188,188
189,Urea,8694.0,189,189
190,Urea,8740.0,190,190
191,Urea,8786.0,191,191
192,Urea,8832.0,192,192
193,Urea,8878.0,193,193
194,Urea,8924.0,194,194
195,Urea,8970.0,195,195
196,Urea,9016.0,196,196
197,Urea,9062.0,197,197
198,Urea,9108.0,198,198
199,Urea,9154.0,199,199
200,Ammonium sulphate,0.0,0,0
201,Ammonium sulphate,21.0,1,1
202,Ammonium sulphate,42.0,2,2
203,Ammonium sulphate,63.0,3,3
204,Ammonium sulphate,84.0,4,4
205,Ammonium sulphate,105.0,5,5
206,Ammonium sulphate,126.0,6,6
207,Ammonium sulphate,147.0,7,7
208,Ammonium sulphate,168.0,8,8
209,Ammonium sulphate,189.0,9,9
210,Ammonium sulphate,210.0,10,10
211,Ammonium sulphate,231.0,11,11
212,Ammonium sulphate,252.0,12,12
213,Ammonium sulphate,273.0,13,13
214,Ammonium sulphate,294.0,14,14
215,Ammonium sulphate,315.0,15,15
216,Ammonium sulphate,336.0,16,16
217,Ammonium sulphate,357.0,17,17
218,Ammonium sulphate,378.0,18,18
219,Ammonium sulphate,399.0,19,19
220,Ammonium sulphate,420.0,20,20
221,Ammonium sulphate,441.0,21,21
222,Ammonium sulphate,462.0,22,22
223,Ammonium sulphate,483.0,23,23
224,Ammonium sulphate,504.0,24,24
225,Ammonium sulphate,525.0,25,25
226,Ammonium sulphate,546.0,26,26
227,Ammonium sulphate,567.0,27,27
228,Ammonium sulphate,588.0,28,28
229,Ammonium sulphate,609.0,29,29
230,Ammonium sulphate,630.0,30,30
231,Ammonium sulphate,651.0,31,31
232,Ammonium sulphate,672.0,32,32
233,Ammonium sulphate,693.0,33,33
234,Ammonium sulphate,714.0,34,34
235,Ammonium sulphate,735.0,35,35
236,Ammonium sulphate,756.0,36,36
237,Ammonium sulphate,777.0,37,37
238,Ammonium sulphate,798.0,38,38
239,Ammonium sulphate,819.0,39,39
240,Ammonium sulphate,840.0,40,40
241,Ammonium sulphate,861.0,41,41
242,Ammonium sulphate,882.0,42,42
243,Ammonium sulphate,903.0,43,43
244,Ammonium sulphate,924.0,44,44
245,Ammonium sulphate,945.0,45,45
246,Ammonium sulphate,966.0,46,46
247,Ammonium sulphate,987.0,47,47
248,Ammonium sulphate,1008.0,48,48
249,Ammonium sulphate,1029.0,49,49
250,Ammonium sulphate,1050.0,50,50
251,Ammonium sulphate,1071.0,51,51
252,Ammonium sulphate,1092.0,52,52
253,Ammonium sulphate,1113.0,53,53
254,Ammonium sulphate,1134.0,54,54
255,Ammonium sulphate,1155.0,55,55
256,Ammonium sulphate,1176.0,56,56
257,Ammonium sulphate,1197.0,57,57
258,Ammonium sulphate,1218.0,58,58
259,Ammonium sulphate,1239.0,59,59
260,Ammonium sulphate,1260.0,60,60
261,Ammonium sulphate,1281.0,61,61
262,Ammonium sulphate,1302.0,62,62
263,Ammonium sulphate,1323.0,63,63
264,Ammonium sulphate,1344.0,64,64
265,Ammonium sulphate,1365.0,65,65
266,Ammonium sulphate,1386.0,66,66
267,Ammonium sulphate,1407.0,67,67
268,Ammonium sulphate,1428.0,68,68
269,Ammonium sulphate,1449.0,69,69
270,Ammonium sulphate,1470.0,70,70
271,Ammonium sulphate,1491.0,71,71
272,Ammonium sulphate,1512.0,72,72
273,Ammonium sulphate,1533.0,73,73
274,Ammonium sulphate,1554.0,74,74
275,Ammonium sulphate,1575.0,75,75
276,Ammonium sulphate,1596.0,76,76
277,Ammonium sulphate,1617.0,77,77
278,Ammonium sulphate,1638.0,78,78
279,Ammonium sulphate,1659.0,79,79
280,Ammonium sulphate,1680.0,80,80
281,Ammonium sulphate,1701.0,81,81
282,Ammonium sulphate,1722.0,82,82
283,Ammonium sulphate,1743.0,83,83
284,Ammonium sulphate,1764.0,84,84
285,Ammonium sulphate,1785.0,85,85
286,Ammonium sulphate,1806.0,86,86
287,Ammonium sulphate,1827.0,87,87
288,Ammonium sulphate,1848.0,88,88
289,Ammonium sulphate,1869.0,89,89
290,Ammonium sulphate,1890.0,90,90
291,Ammonium sulphate,1911.0,91,91
292,Ammonium sulphate,1932.0,92,92
293,Ammonium sulphate,1953.0,93,93
294,Ammonium sulphate,1974.0,94,94
295,Ammonium sulphate,1995.0,95,95
296,Ammonium sulphate,2016.0,96,96
