crop,n,p,k,humidity,temperature,ph
rice,2.0,1.0,1.0,High,20.0,70.0
rice,2.0,1.0,1.0,High,20.06024,70.08032
rice,2.0,1.0,1.0,High,20.12048,70.16064
rice,2.0,1.0,1.0,High,20.18072,70.24096
rice,2.0,1.0,1.0,High,20.24096,70.32129
rice,2.0,1.0,1.0,High,20.3012,70.40161
rice,2.0,1.0,1.0,High,20.36145,70.48193
rice,2.0,1.0,1.0,High,20.42169,70.56225
rice,2.0,1.0,1.0,High,20.48193,70.64257
rice,2.0,1.0,1.0,High,20.54217,70.72289
rice,2.0,1.0,1.0,High,20.60241,70.80321
rice,2.0,1.0,1.0,High,20.66265,70.88353
rice,2.0,1.0,1.0,High,20.72289,70.96386
rice,2.0,1.0,1.0,High,20.78313,71.04418
rice,2.0,1.0,1.0,High,20.84337,71.1245
rice,2.0,1.0,1.0,High,20.90361,71.20482
rice,2.0,1.0,1.0,High,20.96386,71.28514
rice,2.0,1.0,1.0,High,21.0241,71.36546
rice,2.0,1.0,1.0,High,21.08434,71.44578
rice,2.0,1.0,1.0,High,21.14458,71.5261
rice,2.0,1.0,1.0,High,21.20482,71.60643
rice,2.0,1.0,1.0,High,21.26506,71.68675
rice,2.0,1.0,1.0,High,21.3253,71.76707
rice,2.0,1.0,1.0,High,21.38554,71.84739
rice,2.0,1.0,1.0,High,21.44578,71.92771
rice,2.0,1.0,1.0,High,21.50602,72.00803
rice,2.0,1.0,1.0,High,21.56627,72.08835
rice,2.0,1.0,1.0,High,21.62651,72.16867
rice,2.0,1.0,1.0,High,21.68675,72.249
rice,2.0,1.0,1.0,High,21.74699,72.32932
rice,2.0,1.0,1.0,High,21.80723,72.40964
rice,2.0,1.0,1.0,High,21.86747,72.48996
rice,2.0,1.0,1.0,High,21.92771,72.57028
rice,2.0,1.0,1.0,High,21.98795,72.6506
rice,2.0,1.0,1.0,High,22.04819,72.73092
rice,2.0,1.0,1.0,High,22.10843,72.81124
rice,2.0,1.0,1.0,High,22.16867,72.89157
rice,2.0,1.0,1.0,High,22.22892,72.97189
rice,2.0,1.0,1.0,High,22.28916,73.05221
rice,2.0,1.0,1.0,High,22.3494,73.13253
rice,2.0,1.0,1.0,High,22.40964,73.21285
rice,2.0,1.0,1.0,High,22.46988,73.29317
rice,2.0,1.0,1.0,High,22.53012,73.37349
rice,2.0,1.0,1.0,High,22.59036,73.45382
rice,2.0,1.0,1.0,High,22.6506,73.53414
rice,2.0,1.0,1.0,High,22.71084,73.61446
rice,2.0,1.0,1.0,High,22.77108,73.69478
rice,2.0,1.0,1.0,High,22.83133,73.7751
rice,2.0,1.0,1.0,High,22.89157,73.85542
rice,2.0,1.0,1.0,High,22.95181,73.93574
rice,2.0,1.0,1.0,High,23.01205,74.01606
rice,2.0,1.0,1.0,High,23.07229,74.09639
rice,2.0,1.0,1.0,High,23.13253,74.17671
rice,2.0,1.0,1.0,High,23.19277,74.25703
rice,2.0,1.0,1.0,High,23.25301,74.33735
rice,2.0,1.0,1.0,High,23.31325,74.41767
rice,2.0,1.0,1.0,High,23.37349,74.49799
rice,2.0,1.0,1.0,High,23.43373,74.57831
